番号,団地名,最寄り駅,二子玉川からの所要時間,間取り,部屋名,月額家賃,共益費,床面積,階,URページ
1,かわさきテクノピア堀川町ハイツ,川崎（JR）,約25分,なし,-,-,-,-,-,https://www.ur-net.go.jp/chintai/kanto/kanagawa/40_2480.html
2,アーベインビオ川崎,川崎（JR）,約25分,なし,-,-,-,-,-,https://www.ur-net.go.jp/chintai/kanto/kanagawa/40_4020.html
3,川崎日進,川崎（JR）,約25分,なし,-,-,-,-,-,https://www.ur-net.go.jp/chintai/kanto/kanagawa/40_1830.html
4,コンフォール品川西大井,品川,約35分,なし,-,-,-,-,-,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_7220.html
5,小杉御殿,武蔵小杉,約15分,なし,-,-,-,-,-,https://www.ur-net.go.jp/chintai/kanto/kanagawa/40_2660.html
6,木月住吉,武蔵小杉,約15分,なし,-,-,-,-,-,https://www.ur-net.go.jp/chintai/kanto/kanagawa/40_3020.html
7,大森中二丁目,蒲田（JR）,約35分,なし,-,-,-,-,-,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2030.html
8,アミティ大森東,蒲田（JR）,約35分,なし,-,-,-,-,-,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5540.html
9,南六郷二丁目,蒲田（JR）,約35分,なし,-,-,-,-,-,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1960.html
10,大井六丁目,大井町,約25分,2DK,703号室,"111,400円","9,000円",47㎡,7階,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1830.html
11,アーバンハイツみぞのくち,溝の口,約5分,なし,-,-,-,-,-,https://www.ur-net.go.jp/chintai/kanto/kanagawa/40_3100.html
12,港北ニュータウン サントゥール中川,横浜（たまプラーザ経由）,約45分,2LDK,9号棟1002号室,"152,400円","3,800円",61㎡,10階,https://www.ur-net.go.jp/chintai/kanto/kanagawa/40_2690.html
