団地名,最寄り駅（二子玉川から）,二子玉川からの所要時間,団地住所,団地URページ,学区小学校,小学校住所,団地→小学校 推計徒歩時間（分）,備考
かわさきテクノピア堀川町ハイツ,川崎（JR）,約25分,川崎市幸区堀川町66-13,https://www.ur-net.go.jp/chintai/kanto/kanagawa/40_2480.html,幸町小学校,川崎市幸区中幸町2-17,約8分,川崎駅徒歩5分・京急川崎駅徒歩4分
アーベインビオ川崎,川崎（JR）,約25分,川崎市幸区大宮町26-3-1,https://www.ur-net.go.jp/chintai/kanto/kanagawa/40_4020.html,幸町小学校,川崎市幸区中幸町2-17,約9分,川崎駅徒歩5〜7分
川崎日進,川崎（JR）,約25分,川崎市川崎区日進町23-1,https://www.ur-net.go.jp/chintai/kanto/kanagawa/40_1830.html,川崎小学校,川崎市川崎区日進町20-1,約3分,川崎駅徒歩15分・八丁畷駅徒歩5分
コンフォール品川西大井,品川,約35分,品川区二葉4-13-14,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_7220.html,上神明小学校,品川区二葉4-4-10,約7分,西大井駅徒歩7分・戸越公園駅徒歩9分
小杉御殿,武蔵小杉,約15分,川崎市中原区小杉御殿町2-47,https://www.ur-net.go.jp/chintai/kanto/kanagawa/40_2660.html,中原小学校,川崎市中原区小杉御殿町1-950,約4分,武蔵小杉駅徒歩8〜12分
木月住吉,武蔵小杉,約15分,川崎市中原区木月住吉町23-3,https://www.ur-net.go.jp/chintai/kanto/kanagawa/40_3020.html,東住吉小学校,川崎市中原区木月住吉町1-11,約5分,元住吉駅徒歩8〜9分
大森中二丁目,蒲田（JR）,約35分,大田区大森中2-2-1,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2030.html,大森第一小学校,大田区大森東3-1-18,約8分,梅屋敷駅（京急）徒歩2分
アミティ大森東,蒲田（JR）,約35分,大田区大森東1-24,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5540.html,大森東小学校,大田区大森東1-29-1,約3分,平和島駅徒歩7〜8分
南六郷二丁目,蒲田（JR）,約35分,大田区南六郷2-35,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1960.html,南六郷小学校,大田区南六郷3-7-1,約7分,雑色駅（京急）徒歩13〜14分
大井六丁目,大井町,約25分,品川区大井6-9-32,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1830.html,大井第一小学校,品川区大井6-1-32,約7分,大井町駅徒歩14分・立会川駅徒歩12分
アーバンハイツみぞのくち,溝の口,約5分,川崎市高津区下作延4-22-12,https://www.ur-net.go.jp/chintai/kanto/kanagawa/40_3100.html,下作延小学校,川崎市高津区下作延5-19-1,約9分,溝の口駅徒歩12〜13分
港北ニュータウン サントゥール中川,横浜（たまプラーザ経由）,約45分,横浜市都筑区中川2-9,https://www.ur-net.go.jp/chintai/kanto/kanagawa/40_2690.html,中川西小学校,横浜市都筑区中川1-3-1,約5分,中川駅徒歩7〜8分・たまプラーザ駅バス4分+徒歩2〜3分
